ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
41,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,255,2:46.90,,1,,4,茂櫛典子,,セ・成城,40.79,,,,,,,,,2:18.66,2:07.60,2:00.75,2/5
42,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,255,2:46.90,,2,,4,草森理子,,セ・成城,40.58,,,,,,,,,2:18.66,2:07.60,2:00.75,2/5
43,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,255,2:46.90,,3,,4,柳沢智子,,セ・成城,45.41,,,,,,,,,2:18.66,2:07.60,2:00.75,2/5
44,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,255,2:46.90,,4,,4,田代眞理子,,セ・成城,40.12,,,,,,,,,2:18.66,2:07.60,2:00.75,2/5
45,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,249,2:48.66,,1,,5,西田三佐子,,セ・大宮宮原,38.22,,,,,,,,,2:18.66,2:07.60,2:00.75,2/9
46,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,249,2:48.66,,2,,5,臼井希代子,,セ・大宮宮原,43.12,,,,,,,,,2:18.66,2:07.60,2:00.75,2/9
47,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,249,2:48.66,,3,,5,関矢秀子,,セ・大宮宮原,46.11,,,,,,,,,2:18.66,2:07.60,2:00.75,2/9
48,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,249,2:48.66,,4,,5,坂井慶子,,セ・大宮宮原,41.21,,,,,,,,,2:18.66,2:07.60,2:00.75,2/9
49,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,252,2:55.69,,1,,6,山田智子,,セ・慶應日吉,41.88,,,,,,,,,2:18.66,2:07.60,2:00.75,1/4
50,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,252,2:55.69,,2,,6,榮真須美,,セ・慶應日吉,49.68,,,,,,,,,2:18.66,2:07.60,2:00.75,1/4
